has_setup,has_punchline,structure_valid,setup_words,punchline_words,total_words,within_target_length,setup_punchline_ratio,has_question,has_exclamation,has_period,explicit_format_markers,sentence_count,id,model,category,temperature
True,True,True,9,8,19,True,1.125,True,True,False,True,2,gpt4o_linguistic_t0.5_0,gpt4o,linguistic,0.5
True,True,True,7,8,17,True,0.875,True,False,True,True,3,gpt4o_linguistic_t0.5_1,gpt4o,linguistic,0.5
True,True,True,9,9,20,True,1.0,True,True,False,True,2,gpt4o_linguistic_t0.5_2,gpt4o,linguistic,0.5
True,True,True,8,13,23,True,0.6153846153846154,True,True,False,True,2,gpt4o_linguistic_t0.5_3,gpt4o,linguistic,0.5
True,True,True,8,9,19,True,0.8888888888888888,True,True,False,True,2,gpt4o_linguistic_t0.5_4,gpt4o,linguistic,0.5
True,True,True,10,9,21,True,1.1111111111111112,True,True,False,True,2,gpt4o_linguistic_t0.7_0,gpt4o,linguistic,0.7
True,True,True,9,8,19,True,1.125,True,True,False,True,2,gpt4o_linguistic_t0.7_1,gpt4o,linguistic,0.7
True,True,True,9,14,25,True,0.6428571428571429,True,False,True,True,2,gpt4o_linguistic_t0.7_2,gpt4o,linguistic,0.7
True,True,True,8,10,20,True,0.8,True,True,False,True,2,gpt4o_linguistic_t0.7_3,gpt4o,linguistic,0.7
True,True,True,8,10,20,True,0.8,True,True,False,True,2,gpt4o_linguistic_t0.7_4,gpt4o,linguistic,0.7
True,True,True,7,5,14,False,1.4,True,True,False,True,2,gpt4o_linguistic_t0.9_0,gpt4o,linguistic,0.9
True,True,True,8,8,18,True,1.0,True,True,False,True,2,gpt4o_linguistic_t0.9_1,gpt4o,linguistic,0.9
True,True,True,8,15,25,True,0.5333333333333333,True,True,False,True,2,gpt4o_linguistic_t0.9_2,gpt4o,linguistic,0.9
True,True,True,7,13,22,True,0.5384615384615384,True,True,False,True,2,gpt4o_linguistic_t0.9_3,gpt4o,linguistic,0.9
True,True,True,10,11,23,True,0.9090909090909091,True,True,False,True,2,gpt4o_linguistic_t0.9_4,gpt4o,linguistic,0.9
True,True,True,22,17,41,True,1.2941176470588236,False,False,True,True,3,gpt4o_physical_t0.5_0,gpt4o,physical,0.5
True,True,True,21,15,38,True,1.4,False,False,True,True,2,gpt4o_physical_t0.5_1,gpt4o,physical,0.5
True,True,True,28,9,39,True,3.111111111111111,False,False,True,True,2,gpt4o_physical_t0.5_2,gpt4o,physical,0.5
True,True,True,10,13,25,True,0.7692307692307693,True,True,False,True,2,gpt4o_physical_t0.5_3,gpt4o,physical,0.5
True,True,True,10,16,28,True,0.625,True,True,False,True,2,gpt4o_physical_t0.5_4,gpt4o,physical,0.5
True,True,True,14,10,26,True,1.4,False,False,True,True,3,gpt4o_physical_t0.7_0,gpt4o,physical,0.7
True,True,True,17,10,29,True,1.7,False,True,False,True,2,gpt4o_physical_t0.7_1,gpt4o,physical,0.7
True,True,True,13,12,27,True,1.0833333333333333,False,False,True,True,2,gpt4o_physical_t0.7_2,gpt4o,physical,0.7
True,True,True,11,14,27,True,0.7857142857142857,True,True,False,True,2,gpt4o_physical_t0.7_3,gpt4o,physical,0.7
True,True,True,13,12,27,True,1.0833333333333333,True,False,True,True,3,gpt4o_physical_t0.7_4,gpt4o,physical,0.7
True,True,True,17,19,38,True,0.8947368421052632,False,False,True,True,2,gpt4o_physical_t0.9_0,gpt4o,physical,0.9
True,True,True,23,13,38,True,1.7692307692307692,False,True,False,True,2,gpt4o_physical_t0.9_1,gpt4o,physical,0.9
True,True,True,16,10,28,True,1.6,False,True,False,True,2,gpt4o_physical_t0.9_2,gpt4o,physical,0.9
True,True,True,14,12,28,True,1.1666666666666667,True,True,False,True,2,gpt4o_physical_t0.9_3,gpt4o,physical,0.9
True,True,True,14,16,32,True,0.875,False,False,True,True,2,gpt4o_physical_t0.9_4,gpt4o,physical,0.9
True,True,True,16,16,34,True,1.0,False,True,False,True,3,gpt4o_social_t0.5_0,gpt4o,social,0.5
True,True,True,19,23,44,True,0.8260869565217391,False,False,True,True,2,gpt4o_social_t0.5_1,gpt4o,social,0.5
True,True,True,18,10,30,True,1.8,False,False,True,True,2,gpt4o_social_t0.5_2,gpt4o,social,0.5
True,True,True,16,18,36,True,0.8888888888888888,False,False,True,True,2,gpt4o_social_t0.5_3,gpt4o,social,0.5
True,True,True,18,15,35,True,1.2,False,False,True,True,3,gpt4o_social_t0.5_4,gpt4o,social,0.5
True,True,True,16,20,38,True,0.8,False,True,False,True,3,gpt4o_social_t0.7_0,gpt4o,social,0.7
True,True,True,26,15,43,True,1.7333333333333334,False,False,False,True,3,gpt4o_social_t0.7_1,gpt4o,social,0.7
True,True,True,18,16,36,True,1.125,False,False,True,True,2,gpt4o_social_t0.7_2,gpt4o,social,0.7
True,True,True,17,19,38,True,0.8947368421052632,False,False,False,True,3,gpt4o_social_t0.7_3,gpt4o,social,0.7
True,True,True,27,14,43,True,1.9285714285714286,False,False,True,True,2,gpt4o_social_t0.7_4,gpt4o,social,0.7
True,True,True,12,14,28,True,0.8571428571428571,False,False,True,True,4,gpt4o_social_t0.9_0,gpt4o,social,0.9
True,True,True,23,12,37,True,1.9166666666666667,False,False,True,True,2,gpt4o_social_t0.9_1,gpt4o,social,0.9
True,True,True,28,13,43,True,2.1538461538461537,False,False,True,True,5,gpt4o_social_t0.9_2,gpt4o,social,0.9
True,True,True,14,16,32,True,0.875,False,False,True,True,3,gpt4o_social_t0.9_3,gpt4o,social,0.9
True,True,True,17,19,38,True,0.8947368421052632,False,False,True,True,2,gpt4o_social_t0.9_4,gpt4o,social,0.9
True,True,True,10,9,21,True,1.1111111111111112,True,False,True,True,2,gpt4o_dark_t0.5_0,gpt4o,dark,0.5
True,True,True,10,29,41,True,0.3448275862068966,True,False,True,True,2,gpt4o_dark_t0.5_1,gpt4o,dark,0.5
True,True,True,14,17,33,True,0.8235294117647058,True,False,True,True,2,gpt4o_dark_t0.5_2,gpt4o,dark,0.5
True,True,True,8,13,23,True,0.6153846153846154,True,True,False,True,2,gpt4o_dark_t0.5_3,gpt4o,dark,0.5
True,True,True,13,18,33,True,0.7222222222222222,True,False,True,True,2,gpt4o_dark_t0.5_4,gpt4o,dark,0.5
True,True,True,10,9,21,True,1.1111111111111112,True,True,False,True,2,gpt4o_dark_t0.7_0,gpt4o,dark,0.7
True,True,True,8,18,28,True,0.4444444444444444,True,False,True,True,2,gpt4o_dark_t0.7_1,gpt4o,dark,0.7
True,True,True,8,15,25,True,0.5333333333333333,True,True,False,True,2,gpt4o_dark_t0.7_2,gpt4o,dark,0.7
True,True,True,13,19,34,True,0.6842105263157895,True,False,True,True,2,gpt4o_dark_t0.7_3,gpt4o,dark,0.7
True,True,True,18,14,34,True,1.2857142857142858,True,False,True,True,2,gpt4o_dark_t0.7_4,gpt4o,dark,0.7
True,True,True,10,10,22,True,1.0,True,False,True,True,2,gpt4o_dark_t0.9_0,gpt4o,dark,0.9
True,True,True,11,20,33,True,0.55,True,False,True,True,3,gpt4o_dark_t0.9_1,gpt4o,dark,0.9
True,True,True,12,14,28,True,0.8571428571428571,True,True,False,True,2,gpt4o_dark_t0.9_2,gpt4o,dark,0.9
True,True,True,8,12,22,True,0.6666666666666666,True,False,True,True,2,gpt4o_dark_t0.9_3,gpt4o,dark,0.9
True,True,True,12,25,39,True,0.48,False,False,True,True,2,gpt4o_dark_t0.9_4,gpt4o,dark,0.9
True,True,True,8,14,24,True,0.5714285714285714,True,False,True,True,2,claude_linguistic_t0.5_0,claude,linguistic,0.5
True,True,True,8,45,55,False,0.17777777777777778,True,False,True,True,4,claude_linguistic_t0.5_1,claude,linguistic,0.5
True,True,True,26,10,38,True,2.6,False,False,True,True,2,claude_linguistic_t0.5_2,claude,linguistic,0.5
True,True,True,12,40,54,False,0.3,False,False,False,True,1,claude_linguistic_t0.5_3,claude,linguistic,0.5
True,True,True,12,14,28,True,0.8571428571428571,True,False,True,True,3,claude_linguistic_t0.5_4,claude,linguistic,0.5
True,True,True,8,14,24,True,0.5714285714285714,True,False,True,True,2,claude_linguistic_t0.7_0,claude,linguistic,0.7
True,True,True,12,43,57,False,0.27906976744186046,True,False,True,True,5,claude_linguistic_t0.7_1,claude,linguistic,0.7
True,True,True,12,9,23,True,1.3333333333333333,False,False,True,True,2,claude_linguistic_t0.7_2,claude,linguistic,0.7
True,True,True,14,10,26,True,1.4,True,False,True,True,3,claude_linguistic_t0.7_3,claude,linguistic,0.7
True,True,True,13,8,23,True,1.625,True,False,True,True,2,claude_linguistic_t0.7_4,claude,linguistic,0.7
True,True,True,8,16,26,True,0.5,True,False,True,True,2,claude_linguistic_t0.9_0,claude,linguistic,0.9
True,True,True,8,10,20,True,0.8,True,False,True,True,2,claude_linguistic_t0.9_1,claude,linguistic,0.9
True,True,True,22,7,31,True,3.142857142857143,False,False,True,True,2,claude_linguistic_t0.9_2,claude,linguistic,0.9
True,True,True,19,20,41,True,0.95,False,False,True,True,3,claude_linguistic_t0.9_3,claude,linguistic,0.9
True,True,True,9,11,22,True,0.8181818181818182,True,False,True,True,3,claude_linguistic_t0.9_4,claude,linguistic,0.9
True,True,True,19,14,35,True,1.3571428571428572,False,False,True,True,3,claude_physical_t0.5_0,claude,physical,0.5
True,True,True,16,18,36,True,0.8888888888888888,False,False,True,True,2,claude_physical_t0.5_1,claude,physical,0.5
True,True,True,21,17,40,True,1.2352941176470589,False,False,True,True,2,claude_physical_t0.5_2,claude,physical,0.5
True,True,True,27,18,47,True,1.5,False,False,True,True,4,claude_physical_t0.5_3,claude,physical,0.5
True,True,True,26,18,46,True,1.4444444444444444,False,False,True,True,4,claude_physical_t0.5_4,claude,physical,0.5
True,True,True,26,11,39,True,2.3636363636363638,False,False,True,True,3,claude_physical_t0.7_0,claude,physical,0.7
True,True,True,22,22,46,True,1.0,False,False,True,True,2,claude_physical_t0.7_1,claude,physical,0.7
True,True,True,21,17,40,True,1.2352941176470589,False,False,True,True,2,claude_physical_t0.7_2,claude,physical,0.7
True,True,True,24,24,50,True,1.0,False,False,True,True,2,claude_physical_t0.7_3,claude,physical,0.7
True,True,True,28,19,49,True,1.4736842105263157,False,False,True,True,3,claude_physical_t0.7_4,claude,physical,0.7
True,True,True,22,25,49,True,0.88,False,False,True,True,2,claude_physical_t0.9_0,claude,physical,0.9
True,True,True,30,13,45,True,2.3076923076923075,False,False,True,True,2,claude_physical_t0.9_1,claude,physical,0.9
True,True,True,20,19,41,True,1.0526315789473684,False,False,True,True,2,claude_physical_t0.9_2,claude,physical,0.9
True,True,True,26,10,38,True,2.6,False,False,True,True,3,claude_physical_t0.9_3,claude,physical,0.9
True,True,True,26,16,44,True,1.625,False,False,True,True,3,claude_physical_t0.9_4,claude,physical,0.9
True,True,True,18,15,35,True,1.2,False,False,True,True,2,claude_social_t0.5_0,claude,social,0.5
True,True,True,32,15,49,True,2.1333333333333333,False,False,True,True,2,claude_social_t0.5_1,claude,social,0.5
True,True,True,21,17,40,True,1.2352941176470589,False,False,True,True,2,claude_social_t0.5_2,claude,social,0.5
True,True,True,27,20,49,True,1.35,False,False,True,True,3,claude_social_t0.5_3,claude,social,0.5
True,True,True,31,26,59,False,1.1923076923076923,False,False,True,True,2,claude_social_t0.5_4,claude,social,0.5
True,True,True,19,13,34,True,1.4615384615384615,False,False,True,True,2,claude_social_t0.7_0,claude,social,0.7
True,True,True,30,12,44,True,2.5,False,False,True,True,1,claude_social_t0.7_1,claude,social,0.7
True,True,True,23,17,42,True,1.3529411764705883,False,False,True,True,3,claude_social_t0.7_2,claude,social,0.7
True,True,True,29,11,42,True,2.6363636363636362,False,False,True,True,3,claude_social_t0.7_3,claude,social,0.7
True,True,True,32,14,48,True,2.2857142857142856,False,False,True,True,2,claude_social_t0.7_4,claude,social,0.7
True,True,True,19,15,36,True,1.2666666666666666,False,False,True,True,2,claude_social_t0.9_0,claude,social,0.9
True,True,True,25,20,47,True,1.25,False,False,True,True,2,claude_social_t0.9_1,claude,social,0.9
True,True,True,23,19,44,True,1.2105263157894737,False,False,True,True,3,claude_social_t0.9_2,claude,social,0.9
True,True,True,25,25,52,False,1.0,False,False,True,True,3,claude_social_t0.9_3,claude,social,0.9
True,True,True,23,14,39,True,1.6428571428571428,False,False,True,True,2,claude_social_t0.9_4,claude,social,0.9
True,True,True,18,7,27,True,2.5714285714285716,False,False,True,True,2,claude_dark_t0.5_0,claude,dark,0.5
True,True,True,25,9,36,True,2.7777777777777777,False,False,True,True,4,claude_dark_t0.5_1,claude,dark,0.5
True,True,True,14,12,28,True,1.1666666666666667,False,False,True,True,3,claude_dark_t0.5_2,claude,dark,0.5
True,True,True,18,16,36,True,1.125,False,False,True,True,2,claude_dark_t0.5_3,claude,dark,0.5
True,True,True,10,11,23,True,0.9090909090909091,False,False,True,True,2,claude_dark_t0.5_4,claude,dark,0.5
True,True,True,18,15,35,True,1.2,False,False,True,True,3,claude_dark_t0.7_0,claude,dark,0.7
True,True,True,20,5,27,True,4.0,False,False,True,True,2,claude_dark_t0.7_1,claude,dark,0.7
True,True,True,20,13,35,True,1.5384615384615385,False,False,True,True,3,claude_dark_t0.7_2,claude,dark,0.7
True,True,True,23,17,42,True,1.3529411764705883,False,False,True,True,2,claude_dark_t0.7_3,claude,dark,0.7
True,True,True,22,16,40,True,1.375,False,False,True,True,3,claude_dark_t0.7_4,claude,dark,0.7
True,True,True,21,10,33,True,2.1,False,False,True,True,2,claude_dark_t0.9_0,claude,dark,0.9
True,True,True,22,16,40,True,1.375,False,False,True,True,2,claude_dark_t0.9_1,claude,dark,0.9
True,True,True,13,16,31,True,0.8125,False,False,True,True,2,claude_dark_t0.9_2,claude,dark,0.9
True,True,True,27,19,48,True,1.4210526315789473,False,False,True,True,2,claude_dark_t0.9_3,claude,dark,0.9
True,True,True,19,17,38,True,1.1176470588235294,False,False,True,True,3,claude_dark_t0.9_4,claude,dark,0.9
True,True,True,10,6,18,True,1.6666666666666667,True,False,True,True,2,gemini_linguistic_t0.5_0,gemini,linguistic,0.5
True,True,True,11,6,19,True,1.8333333333333333,False,False,True,True,3,gemini_linguistic_t0.5_1,gemini,linguistic,0.5
True,True,True,9,14,25,True,0.6428571428571429,False,False,True,True,3,gemini_linguistic_t0.5_2,gemini,linguistic,0.5
True,True,True,7,11,20,True,0.6363636363636364,True,False,True,True,2,gemini_linguistic_t0.5_3,gemini,linguistic,0.5
True,True,True,8,6,16,True,1.3333333333333333,True,False,True,True,2,gemini_linguistic_t0.5_4,gemini,linguistic,0.5
True,True,True,10,6,18,True,1.6666666666666667,True,False,True,True,2,gemini_linguistic_t0.7_0,gemini,linguistic,0.7
True,True,True,10,7,19,True,1.4285714285714286,False,False,True,True,2,gemini_linguistic_t0.7_1,gemini,linguistic,0.7
True,True,True,12,6,20,True,2.0,False,False,True,True,3,gemini_linguistic_t0.7_2,gemini,linguistic,0.7
True,True,True,7,11,20,True,0.6363636363636364,True,False,True,True,2,gemini_linguistic_t0.7_3,gemini,linguistic,0.7
True,True,True,9,2,13,False,4.5,True,False,True,True,2,gemini_linguistic_t0.7_4,gemini,linguistic,0.7
True,True,True,8,7,17,True,1.1428571428571428,True,False,True,True,2,gemini_linguistic_t0.9_0,gemini,linguistic,0.9
