joke_id,joke_category,joke_generator,explaining_model,semantic_count,has_semantic,embodied_count,has_embodied,social_count,has_social,threat_count,has_threat
gpt4o_linguistic_t0.5_0,linguistic,gpt4o,gpt4o,5,True,0,False,3,True,4,True
gpt4o_linguistic_t0.5_0,linguistic,gpt4o,claude,4,True,0,False,2,True,2,True
gpt4o_linguistic_t0.5_0,linguistic,gpt4o,gemini,2,True,0,False,2,True,1,True
gpt4o_linguistic_t0.5_1,linguistic,gpt4o,gpt4o,4,True,1,True,2,True,2,True
gpt4o_linguistic_t0.5_1,linguistic,gpt4o,claude,3,True,1,True,2,True,2,True
gpt4o_linguistic_t0.5_1,linguistic,gpt4o,gemini,4,True,0,False,3,True,2,True
gpt4o_linguistic_t0.5_2,linguistic,gpt4o,gpt4o,3,True,0,False,2,True,2,True
gpt4o_linguistic_t0.5_2,linguistic,gpt4o,claude,4,True,0,False,2,True,2,True
gpt4o_linguistic_t0.5_2,linguistic,gpt4o,gemini,4,True,0,False,3,True,2,True
gpt4o_linguistic_t0.5_3,linguistic,gpt4o,gpt4o,4,True,0,False,2,True,3,True
gpt4o_linguistic_t0.5_3,linguistic,gpt4o,claude,2,True,0,False,3,True,3,True
gpt4o_linguistic_t0.5_3,linguistic,gpt4o,gemini,4,True,0,False,1,True,2,True
gpt4o_linguistic_t0.5_4,linguistic,gpt4o,gpt4o,3,True,1,True,2,True,3,True
gpt4o_linguistic_t0.5_4,linguistic,gpt4o,claude,4,True,1,True,1,True,3,True
gpt4o_linguistic_t0.5_4,linguistic,gpt4o,gemini,3,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_0,linguistic,gpt4o,gpt4o,2,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_0,linguistic,gpt4o,claude,1,True,0,False,1,True,1,True
gpt4o_linguistic_t0.7_0,linguistic,gpt4o,gemini,2,True,0,False,2,True,2,True
gpt4o_linguistic_t0.7_1,linguistic,gpt4o,gpt4o,3,True,0,False,3,True,0,False
gpt4o_linguistic_t0.7_1,linguistic,gpt4o,claude,4,True,0,False,1,True,1,True
gpt4o_linguistic_t0.7_1,linguistic,gpt4o,gemini,2,True,1,True,2,True,2,True
gpt4o_linguistic_t0.7_2,linguistic,gpt4o,gpt4o,2,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_2,linguistic,gpt4o,claude,3,True,0,False,1,True,1,True
gpt4o_linguistic_t0.7_2,linguistic,gpt4o,gemini,2,True,0,False,2,True,2,True
gpt4o_linguistic_t0.7_3,linguistic,gpt4o,gpt4o,3,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_3,linguistic,gpt4o,claude,4,True,0,False,2,True,3,True
gpt4o_linguistic_t0.7_3,linguistic,gpt4o,gemini,3,True,0,False,2,True,2,True
gpt4o_linguistic_t0.7_4,linguistic,gpt4o,gpt4o,4,True,0,False,3,True,2,True
gpt4o_linguistic_t0.7_4,linguistic,gpt4o,claude,4,True,1,True,2,True,1,True
gpt4o_linguistic_t0.7_4,linguistic,gpt4o,gemini,3,True,0,False,3,True,1,True
gpt4o_physical_t0.5_0,physical,gpt4o,gpt4o,3,True,1,True,3,True,2,True
gpt4o_physical_t0.5_0,physical,gpt4o,claude,3,True,2,True,1,True,1,True
gpt4o_physical_t0.5_0,physical,gpt4o,gemini,3,True,1,True,1,True,2,True
gpt4o_physical_t0.5_1,physical,gpt4o,gpt4o,3,True,0,False,3,True,3,True
gpt4o_physical_t0.5_1,physical,gpt4o,claude,2,True,0,False,1,True,1,True
gpt4o_physical_t0.5_1,physical,gpt4o,gemini,2,True,0,False,1,True,2,True
gpt4o_physical_t0.5_2,physical,gpt4o,gpt4o,2,True,1,True,1,True,3,True
gpt4o_physical_t0.5_2,physical,gpt4o,claude,4,True,1,True,1,True,2,True
gpt4o_physical_t0.5_2,physical,gpt4o,gemini,2,True,0,False,3,True,1,True
gpt4o_physical_t0.5_3,physical,gpt4o,gpt4o,2,True,1,True,2,True,3,True
gpt4o_physical_t0.5_3,physical,gpt4o,claude,2,True,1,True,1,True,1,True
gpt4o_physical_t0.5_3,physical,gpt4o,gemini,2,True,0,False,2,True,2,True
gpt4o_physical_t0.5_4,physical,gpt4o,gpt4o,2,True,0,False,3,True,2,True
gpt4o_physical_t0.5_4,physical,gpt4o,claude,2,True,0,False,6,True,2,True
gpt4o_physical_t0.5_4,physical,gpt4o,gemini,1,True,0,False,2,True,2,True
gpt4o_physical_t0.7_0,physical,gpt4o,gpt4o,3,True,0,False,2,True,4,True
gpt4o_physical_t0.7_0,physical,gpt4o,claude,2,True,2,True,2,True,2,True
gpt4o_physical_t0.7_0,physical,gpt4o,gemini,3,True,2,True,2,True,1,True
gpt4o_physical_t0.7_1,physical,gpt4o,gpt4o,2,True,0,False,2,True,3,True
gpt4o_physical_t0.7_1,physical,gpt4o,claude,2,True,0,False,2,True,2,True
gpt4o_physical_t0.7_1,physical,gpt4o,gemini,2,True,0,False,2,True,2,True
gpt4o_physical_t0.7_2,physical,gpt4o,gpt4o,4,True,0,False,3,True,3,True
gpt4o_physical_t0.7_2,physical,gpt4o,claude,4,True,1,True,5,True,2,True
gpt4o_physical_t0.7_2,physical,gpt4o,gemini,1,True,1,True,4,True,2,True
gpt4o_physical_t0.7_3,physical,gpt4o,gpt4o,3,True,1,True,2,True,3,True
gpt4o_physical_t0.7_3,physical,gpt4o,claude,4,True,1,True,2,True,2,True
gpt4o_physical_t0.7_3,physical,gpt4o,gemini,3,True,0,False,2,True,2,True
gpt4o_physical_t0.7_4,physical,gpt4o,gpt4o,2,True,0,False,2,True,1,True
gpt4o_physical_t0.7_4,physical,gpt4o,claude,2,True,1,True,5,True,2,True
gpt4o_physical_t0.7_4,physical,gpt4o,gemini,1,True,1,True,3,True,3,True
gpt4o_social_t0.5_0,social,gpt4o,gpt4o,3,True,0,False,7,True,2,True
gpt4o_social_t0.5_0,social,gpt4o,claude,3,True,0,False,5,True,2,True
gpt4o_social_t0.5_0,social,gpt4o,gemini,1,True,0,False,6,True,1,True
gpt4o_social_t0.5_1,social,gpt4o,gpt4o,3,True,0,False,4,True,3,True
gpt4o_social_t0.5_1,social,gpt4o,claude,0,False,0,False,5,True,2,True
gpt4o_social_t0.5_1,social,gpt4o,gemini,2,True,0,False,6,True,3,True
gpt4o_social_t0.5_2,social,gpt4o,gpt4o,1,True,0,False,2,True,3,True
gpt4o_social_t0.5_2,social,gpt4o,claude,1,True,0,False,4,True,1,True
gpt4o_social_t0.5_2,social,gpt4o,gemini,2,True,0,False,4,True,3,True
gpt4o_social_t0.5_3,social,gpt4o,gpt4o,4,True,0,False,4,True,2,True
gpt4o_social_t0.5_3,social,gpt4o,claude,1,True,0,False,2,True,0,False
gpt4o_social_t0.5_3,social,gpt4o,gemini,2,True,0,False,4,True,3,True
gpt4o_social_t0.5_4,social,gpt4o,gpt4o,1,True,1,True,8,True,3,True
gpt4o_social_t0.5_4,social,gpt4o,claude,1,True,0,False,7,True,0,False
gpt4o_social_t0.5_4,social,gpt4o,gemini,2,True,0,False,6,True,2,True
gpt4o_social_t0.7_0,social,gpt4o,gpt4o,1,True,0,False,7,True,3,True
gpt4o_social_t0.7_0,social,gpt4o,claude,4,True,0,False,5,True,1,True
gpt4o_social_t0.7_0,social,gpt4o,gemini,2,True,0,False,4,True,1,True
gpt4o_social_t0.7_1,social,gpt4o,gpt4o,3,True,0,False,4,True,1,True
gpt4o_social_t0.7_1,social,gpt4o,claude,2,True,0,False,4,True,2,True
gpt4o_social_t0.7_1,social,gpt4o,gemini,2,True,0,False,4,True,2,True
gpt4o_social_t0.7_2,social,gpt4o,gpt4o,3,True,0,False,3,True,4,True
gpt4o_social_t0.7_2,social,gpt4o,claude,2,True,0,False,4,True,1,True
gpt4o_social_t0.7_2,social,gpt4o,gemini,3,True,0,False,5,True,3,True
gpt4o_social_t0.7_3,social,gpt4o,gpt4o,3,True,0,False,4,True,1,True
gpt4o_social_t0.7_3,social,gpt4o,claude,3,True,0,False,1,True,1,True
gpt4o_social_t0.7_3,social,gpt4o,gemini,2,True,0,False,3,True,1,True
gpt4o_social_t0.7_4,social,gpt4o,gpt4o,1,True,0,False,5,True,3,True
gpt4o_social_t0.7_4,social,gpt4o,claude,1,True,0,False,4,True,3,True
gpt4o_social_t0.7_4,social,gpt4o,gemini,1,True,0,False,7,True,3,True
gpt4o_dark_t0.5_0,dark,gpt4o,gpt4o,4,True,0,False,3,True,3,True
gpt4o_dark_t0.5_0,dark,gpt4o,claude,4,True,0,False,3,True,2,True
gpt4o_dark_t0.5_0,dark,gpt4o,gemini,2,True,0,False,2,True,5,True
gpt4o_dark_t0.5_1,dark,gpt4o,gpt4o,3,True,0,False,2,True,3,True
gpt4o_dark_t0.5_1,dark,gpt4o,claude,3,True,0,False,2,True,1,True
gpt4o_dark_t0.5_1,dark,gpt4o,gemini,2,True,1,True,3,True,1,True
gpt4o_dark_t0.5_2,dark,gpt4o,gpt4o,1,True,0,False,2,True,2,True
gpt4o_dark_t0.5_2,dark,gpt4o,claude,3,True,0,False,5,True,3,True
gpt4o_dark_t0.5_2,dark,gpt4o,gemini,1,True,0,False,2,True,4,True
gpt4o_dark_t0.5_3,dark,gpt4o,gpt4o,2,True,0,False,2,True,2,True
gpt4o_dark_t0.5_3,dark,gpt4o,claude,1,True,0,False,2,True,1,True
gpt4o_dark_t0.5_3,dark,gpt4o,gemini,2,True,0,False,2,True,3,True
gpt4o_dark_t0.5_4,dark,gpt4o,gpt4o,1,True,0,False,2,True,5,True
gpt4o_dark_t0.5_4,dark,gpt4o,claude,1,True,0,False,2,True,6,True
gpt4o_dark_t0.5_4,dark,gpt4o,gemini,2,True,1,True,3,True,5,True
gpt4o_dark_t0.7_0,dark,gpt4o,gpt4o,1,True,0,False,2,True,2,True
gpt4o_dark_t0.7_0,dark,gpt4o,claude,3,True,0,False,0,False,3,True
gpt4o_dark_t0.7_0,dark,gpt4o,gemini,1,True,0,False,3,True,3,True
gpt4o_dark_t0.7_1,dark,gpt4o,gpt4o,1,True,0,False,2,True,1,True
gpt4o_dark_t0.7_1,dark,gpt4o,claude,3,True,1,True,1,True,4,True
gpt4o_dark_t0.7_1,dark,gpt4o,gemini,3,True,0,False,2,True,3,True
gpt4o_dark_t0.7_2,dark,gpt4o,gpt4o,2,True,0,False,2,True,1,True
gpt4o_dark_t0.7_2,dark,gpt4o,claude,4,True,0,False,2,True,1,True
gpt4o_dark_t0.7_2,dark,gpt4o,gemini,5,True,0,False,3,True,2,True
gpt4o_dark_t0.7_3,dark,gpt4o,gpt4o,1,True,0,False,3,True,3,True
gpt4o_dark_t0.7_3,dark,gpt4o,claude,1,True,0,False,2,True,2,True
gpt4o_dark_t0.7_3,dark,gpt4o,gemini,2,True,0,False,2,True,1,True
gpt4o_dark_t0.7_4,dark,gpt4o,gpt4o,1,True,0,False,3,True,1,True
gpt4o_dark_t0.7_4,dark,gpt4o,claude,2,True,0,False,3,True,0,False
gpt4o_dark_t0.7_4,dark,gpt4o,gemini,2,True,0,False,2,True,2,True
